overall_rank,feature,mean_abs_shap,mean_shap_share,mean_abs_pearson_r,max_abs_pearson_r,best_single_target_shap,best_single_target_pearson_abs_r,shap_rank,pearson_rank,combined_rank_score
1,A27,1.7585507642473377,0.21988485377627612,0.8216730344947015,0.9221255832776929,3.1368989911351854,0.9221255832776929,1.0,1.0,1.0
2,A63,1.1558542499065543,0.1300805640102394,0.7694902424517464,0.87772894418995,1.8900403774384387,0.87772894418995,2.0,3.0,2.5
3,A25,0.41800119394334295,0.06806502999097025,0.7366253507860377,0.8012730217748825,0.691987365775246,0.8012730217748825,3.0,7.0,5.0
4,A11,0.32461530766015206,0.038974457209910086,0.6995034316376985,0.8611382923347886,0.6108265732702473,0.8611382923347886,4.0,14.0,9.0
5,A34,0.2743796321789839,0.03243204892219889,0.6999131385161109,0.812974751047728,0.4995095089272891,0.812974751047728,6.0,13.0,9.5
6,A17,0.18699202538226112,0.022725927634387244,0.7066617971504465,0.8456270900268109,0.37474461217037486,0.8456270900268109,9.0,12.0,10.5
7,A30,0.0630642833703057,0.009515463997680286,0.7557566997952087,0.8901466760490555,0.11029465919512109,0.8901466760490555,24.0,4.0,14.0
8,A24,0.10555719779145178,0.017631350982992906,0.6525238509474457,0.7114058314762338,0.18166391082879896,0.7114058314762338,12.0,18.0,15.0
9,A44,0.11540085184967132,0.014903202288985019,0.6662327591642548,0.7537730710647605,0.23539674957622692,0.7537730710647605,14.0,17.0,15.5
10,A26,0.24359256267227938,0.028785912053503105,0.5651546588796856,0.6328838914478063,0.46737148119526,0.6328838914478063,8.0,28.0,18.0
11,A32,0.07844148287489909,0.01404748192694899,0.6369693995730814,0.6986551916573258,0.15513415066308212,0.6986551916573258,15.0,22.0,18.5
12,A50,0.04639021561190721,0.006176140612945302,0.7274998416841081,0.8180906833311448,0.06695301386013038,0.8180906833311448,30.0,9.0,19.5
13,A36,0.0461884762207636,0.006150433528916608,0.7347348475072725,0.8849340734476749,0.09721223121627727,0.8849340734476749,31.0,8.0,19.5
14,A31,0.03794431151309275,0.0054614285187937215,0.7768253102144197,0.8759274331345868,0.03958315705586071,0.8759274331345868,37.0,2.0,19.5
15,A14,0.1849265313318307,0.02239592950337631,0.5155984721146778,0.7083440874532211,0.2862891028621489,0.7083440874532211,10.0,33.0,21.5
16,A43,0.04039564386765633,0.00537255373142196,0.7391208762358151,0.8509503735874664,0.05951732185455335,0.8509503735874664,38.0,6.0,22.0
17,A49,0.24644818601671484,0.03069297024802346,0.41583774207912816,0.6551105831398742,0.3763952545882457,0.6551105831398742,7.0,40.0,23.5
18,A39,0.21735178781228007,0.03338110153378891,0.3764719146428997,0.6104815478745726,0.3242144432353367,0.6104815478745726,5.0,44.0,24.5
19,A48,0.041172337680152896,0.005905370064731026,0.6731038008116919,0.8251991491173247,0.07073756933502609,0.8251991491173247,34.0,16.0,25.0
20,A03,0.053758358806460016,0.009350201563075006,0.570628600520735,0.6299966519023548,0.09488673098965851,0.6299966519023548,25.0,27.0,26.0
21,A02,0.04474208763803025,0.005918768266696274,0.6515018719481265,0.8018736827214109,0.08541169501141847,0.8018736827214109,33.0,19.0,26.0
22,A21,0.07243427306627613,0.012897779981386616,0.43823073575997906,0.5314660925631866,0.14079510731270528,0.5314660925631866,18.0,38.0,28.0
23,A46,0.04766676301450804,0.005838708860606743,0.6466186328241927,0.7100141257299373,0.0758754818388771,0.7100141257299373,35.0,21.0,28.0
24,A19,0.11396228377000167,0.01367337724127614,0.39959697827282464,0.43823479299664264,0.1681395497204582,0.43823479299664264,16.0,41.0,28.5
25,A61,0.025335107236255202,0.004018103696203771,0.7170502129665829,0.8195079389991764,0.03379060682014633,0.8195079389991764,47.0,10.0,28.5
26,A52,0.09583909824414638,0.017384406224107234,0.2937833398702943,0.44035340514280014,0.1997554243862808,0.44035340514280014,13.0,46.0,29.5
27,A42,0.03451514006931398,0.005222154383270607,0.6502962158408918,0.7956433166532424,0.05181437359783733,0.7956433166532424,40.0,20.0,30.0
28,A29,0.08027398613443569,0.010180338313719834,0.39526242727814004,0.46224371091921873,0.10471394778066449,0.46224371091921873,22.0,42.0,32.0
29,A57,0.02215982395434168,0.003380612090129497,0.7087501252772795,0.8266112260681742,0.026023840238590633,0.8266112260681742,54.0,11.0,32.5
30,A62,0.1148930359765837,0.017913210374266617,0.15357638576837637,0.3315868176782642,0.13986844347253893,0.3315868176782642,11.0,55.0,33.0
31,A04,0.0442270213577586,0.006580534594635521,0.43946695958877946,0.47644571630852917,0.05369511110524078,0.47644571630852917,29.0,37.0,33.0
32,A12,0.07209937655760089,0.011478561280442464,0.2456249027538142,0.32683289763408807,0.10345394613493658,0.32683289763408807,19.0,49.0,34.0
33,A56,0.017297814875791084,0.0025083264757204873,0.7459973141015511,0.8241630345538262,0.022201097032808478,0.8241630345538262,63.0,5.0,34.0
34,A40,0.07928884011788213,0.013078422552453534,0.17573360215843659,0.38652528127466357,0.11659750469435018,0.38652528127466357,17.0,53.0,35.0
35,A35,0.03978614257352537,0.005697702740619068,0.48984398396716466,0.6515987683671967,0.056842995717358645,0.6515987683671967,36.0,34.0,35.0
36,A06,0.033525848839936166,0.005331326383683469,0.5397022644834872,0.6423826136162007,0.04778270548306959,0.6423826136162007,39.0,32.0,35.5
37,A53,0.02827151054939475,0.0040888191825021415,0.6255068383346682,0.694589395790925,0.036964073516912936,0.694589395790925,46.0,25.0,35.5
38,A23,0.02312883077527869,0.003997853163519283,0.6346269145967937,0.6819704687295216,0.041449272005902385,0.6819704687295216,48.0,23.0,35.5
39,A55,0.02100771810374018,0.0031837108905399584,0.6974853957190277,0.8012890554441169,0.025278885745511792,0.8012890554441169,56.0,15.0,35.5
40,A08,0.08622347406822728,0.010903277448920279,0.1860814139475584,0.3083076193578659,0.11539122546766095,0.3083076193578659,20.0,52.0,36.0
41,A10,0.03377686151173374,0.004911868045146573,0.5406341186261718,0.6066786547783886,0.045720263508442334,0.6066786547783886,43.0,31.0,37.0
42,A05,0.028037330216756567,0.0037616744271399224,0.6302087332462208,0.7920282817482264,0.03912319884711303,0.7920282817482264,50.0,24.0,37.0
43,A37,0.057261901492412455,0.008751859388857142,0.24709724388995566,0.39936597748005276,0.07382819518184132,0.39936597748005276,27.0,48.0,37.5
44,A07,0.030723286410664602,0.005030337647849641,0.461949943456319,0.647116473170577,0.04534663369854078,0.647116473170577,42.0,35.0,38.5
45,A15,0.04331855650308932,0.00666627320528564,0.22435415085678712,0.3266372780888618,0.05416804233913972,0.3266372780888618,28.0,51.0,39.5
46,A01,0.05113502568385651,0.008793794663969054,0.17153744056671782,0.1859821906305843,0.08780193859580056,0.1859821906305843,26.0,54.0,40.0
47,A58,0.04680271816507036,0.0060667169794078055,0.2366291109530411,0.35935981665620387,0.07160323425145021,0.35935981665620387,32.0,50.0,41.0
48,A59,0.07850000220330382,0.010516770025029853,0.1049062854302966,0.23041619627747942,0.12401967206738489,0.23041619627747942,21.0,62.0,41.5
49,A18,0.035811494443170014,0.005096165201592233,0.3819287931156216,0.49935124546179593,0.04820082321375479,0.49935124546179593,41.0,43.0,42.0
50,A45,0.07536512044707452,0.009573127894952212,0.08955121352095204,0.1644376886580478,0.11449660589762355,0.1644376886580478,23.0,63.0,43.0
51,A13,0.019014270523659036,0.0026153218752359886,0.5763240087448844,0.661657040032267,0.02900826629721047,0.661657040032267,61.0,26.0,43.5
52,A09,0.024849068492648185,0.003969800960554451,0.4334136443254149,0.4769263669254457,0.036832006455173545,0.4769263669254457,49.0,39.0,44.0
53,A60,0.02407827897655151,0.0034281055406166056,0.45950547430469074,0.49276030533422777,0.03501264528923752,0.49276030533422777,53.0,36.0,44.5
54,A00,0.01809336707090649,0.002722990405759082,0.563534628917838,0.6483006719993953,0.021117268500996548,0.6483006719993953,60.0,29.0,44.5
55,A41,0.017236255041455293,0.002557736119673384,0.559251409651648,0.600135012259217,0.021201308830400514,0.600135012259217,62.0,30.0,46.0
56,A47,0.02206614946137297,0.0033690091373665895,0.31381385868042355,0.33859518252806586,0.025838305115402433,0.33859518252806586,55.0,45.0,50.0
57,A54,0.020125146015722902,0.0029009099002127157,0.2853932229244637,0.4475600199385703,0.024854938959776786,0.4475600199385703,57.0,47.0,52.0
58,A16,0.03349046917959171,0.004521954650512557,0.10785678684421146,0.22672367856983533,0.06298608410720097,0.22672367856983533,44.0,61.0,52.5
59,A28,0.033396876024426474,0.004515135029811753,0.052864119075474,0.07002631402670188,0.048965581115863535,0.07002631402670188,45.0,64.0,54.5
60,A22,0.024985411277710312,0.0037191256548717543,0.13006638956665742,0.26659007647303434,0.027435567571004384,0.26659007647303434,51.0,58.0,54.5
61,A20,0.02036803876618494,0.0034930067392099965,0.14634455913861422,0.19236797706689476,0.035518833197051736,0.19236797706689476,52.0,57.0,54.5
62,A51,0.019033862994411243,0.0027424805434016486,0.14933705682733045,0.23594247292984669,0.025080854809193795,0.23594247292984669,59.0,56.0,57.5
63,A38,0.01933772319823892,0.0028061823879336027,0.12973811664666146,0.27736680643164136,0.021432967895117325,0.27736680643164136,58.0,59.0,58.5
64,A33,0.015981109311013184,0.002261237331745613,0.11606166776740323,0.24357061849090084,0.017685503751079756,0.24357061849090084,64.0,60.0,62.0
