feature_set,target,model_name,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,pearson_r_mean,folds
embedding_only,S1_VH,lightgbm,0.943334816665693,0.0024104787670642547,1.1803274064807567,0.02681341383327865,0.8756361518138535,0.00778607923986817,0.9715656285117347,12
embedding_only,S1_VH,ridge,0.9355069267908035,0.002975052891787039,1.2591011376972518,0.027296328208074,0.9352156809413267,0.04005240788436786,0.967444355365913,12
embedding_only,S1_VV,lightgbm,0.9126224044273176,0.012211351473231734,1.1438307787614839,0.07632670962336137,0.8126718772459226,0.02965779984581955,0.955796745005231,12
embedding_only,S1_VV,ridge,0.8884756333493655,0.00890368941738442,1.2944985788489909,0.054473596061465554,0.9088802687753551,0.0262123169682717,0.9427962508522479,12
embedding_only,S1_VV_div_VH,lightgbm,0.7319163411894357,0.02928724278710809,1.0627437947006022,0.04882782023706216,0.7859546984145691,0.024753113647795484,0.856282624055699,12
embedding_only,S1_VV_div_VH,ridge,0.7285267726365329,0.02477241092580047,1.069767936236765,0.03578965274767224,0.7870716154778051,0.023907996555429592,0.8552201666119039,12
embedding_plus_context,S1_VH,lightgbm,0.9445021501753929,0.0038488550657719183,1.1677141293099182,0.04171375980697468,0.8763469161140719,0.025696468307712498,0.9721127388215001,12
embedding_plus_context,S1_VH,ridge,0.9366035996479315,0.0036718492754161,1.2481836785177207,0.03500316099477354,0.9218521667140148,0.04316621392718636,0.9679381493872158,12
embedding_plus_context,S1_VV,lightgbm,0.9147477876875086,0.011734600431161023,1.1298166153783988,0.07474214226418306,0.8053437087774471,0.032240843246580816,0.9570594777479102,12
embedding_plus_context,S1_VV,ridge,0.8902905458074183,0.009982769238833573,1.283769402808386,0.0632616935988407,0.8942289547472484,0.036963455164257544,0.9437048310036741,12
embedding_plus_context,S1_VV_div_VH,lightgbm,0.730597973240228,0.025135033910126614,1.0659715668069107,0.045800995599947505,0.7875397605744853,0.023369566190552304,0.8552275249650018,12
embedding_plus_context,S1_VV_div_VH,ridge,0.730832849526318,0.027341089360013886,1.0647603699538504,0.03626326221350795,0.7833507350764872,0.029338352960701516,0.8562433307203955,12
