spatial_block,n_samples,mean_pairwise_cosine
california_coast__0_0,21,0.9979282684385402
california_coast__0_1,17,0.9978132563286214
amazon_forest__0_3,49,0.809217815638411
amazon_forest__0_2,47,0.8073552922275101
california_coast__1_2,41,0.8039428713990096
california_coast__2_2,26,0.7889917045212206
california_coast__3_2,23,0.774867459221043
amazon_forest__1_3,43,0.7676699891194604
amazon_forest__0_1,22,0.7624019506001839
california_coast__1_0,45,0.7583944096026692
sf_bay_urban__3_3,61,0.754344770570076
california_coast__2_1,62,0.7503071409669934
amazon_forest__3_3,58,0.74638563949377
california_coast__3_1,58,0.7459987579075613
amazon_forest__0_0,62,0.7303854224211448
amazon_forest__1_2,52,0.728424672394433
california_coast__3_3,25,0.7284163057745096
california_coast__1_1,43,0.7249693774881594
amazon_forest__3_2,43,0.7198362754895249
california_coast__0_2,90,0.7112200603981402
amazon_forest__3_1,55,0.7098570584626546
iowa_ag__0_3,50,0.6929638012941469
amazon_forest__2_1,69,0.6885835125106679
amazon_forest__1_1,34,0.6794632441190728
california_coast__3_0,74,0.674495363846941
amazon_forest__2_3,30,0.6742876229509672
amazon_forest__1_0,51,0.6695463100907002
california_coast__2_0,40,0.6625788351958407
sf_bay_urban__1_3,28,0.6599905273914788
iowa_ag__2_0,49,0.6529544520813144
amazon_forest__3_0,24,0.6513918072369673
sf_bay_urban__2_3,47,0.644078943686681
iowa_ag__1_1,71,0.6422237067229869
california_coast__2_3,52,0.641935168547276
iowa_ag__0_2,50,0.636131647775563
iowa_ag__0_0,35,0.6360001472094846
amazon_forest__2_0,43,0.6290210525129437
iowa_ag__1_0,52,0.6280612914975845
california_coast__1_3,51,0.6257982791133793
iowa_ag__2_2,73,0.6243571794944435
iowa_ag__3_1,30,0.6177939951632901
iowa_ag__3_3,85,0.6174579896966726
amazon_forest__2_2,38,0.6145000414000378
sf_bay_urban__2_1,42,0.6120096925620496
sf_bay_urban__3_2,43,0.6062891212159295
iowa_ag__1_2,36,0.6026382256668463
iowa_ag__3_0,44,0.5982750487211507
iowa_ag__2_1,34,0.5886138232124424
iowa_ag__0_1,45,0.5866811552642986
sf_bay_urban__0_3,44,0.5800208117804625
california_coast__0_3,52,0.5790417975253664
sf_bay_urban__1_2,62,0.5713961325227197
sf_bay_urban__2_2,43,0.5605330147632449
sf_bay_urban__1_1,61,0.558749505120289
iowa_ag__2_3,24,0.5464433941651625
sf_bay_urban__0_1,38,0.53577546203552
iowa_ag__1_3,21,0.5350678644624269
iowa_ag__3_2,21,0.5321737171780313
sf_bay_urban__0_0,66,0.5267207396393444
sf_bay_urban__3_0,37,0.49062082502994786
sf_bay_urban__2_0,48,0.47396579472929173
sf_bay_urban__3_1,39,0.47184514814399053
sf_bay_urban__1_0,29,0.4567979827380198
sf_bay_urban__0_2,32,0.437595673819649
