feature_set,target,region,r2,rmse,mae,pearson_r,n_test
embedding_only,S1_VH,amazon_forest,0.9527106871558856,1.0867669489334346,0.8033720744184188,0.976546513519977,216
embedding_only,S1_VH,california_coast,0.9571019438681182,1.050461429842028,0.775781082977869,0.9787388823111289,216
embedding_only,S1_VH,iowa_ag,0.8800295660092812,1.1609193246853045,0.8619280871984756,0.939786832376259,216
embedding_only,S1_VH,sf_bay_urban,0.9299818464838462,1.39942020314487,0.9914367903401721,0.9643562373220501,216
embedding_plus_context,S1_VH,amazon_forest,0.9493837545406316,1.1243457539555224,0.8236250002515378,0.9746817268907669,216
embedding_plus_context,S1_VH,california_coast,0.9558439236901519,1.0657529462578692,0.7802639079946485,0.9779724435328789,216
embedding_plus_context,S1_VH,iowa_ag,0.8751319296986821,1.1843788017279617,0.9053187485098605,0.9367040447447654,216
embedding_plus_context,S1_VH,sf_bay_urban,0.9302831457211532,1.3964059932735071,1.0154497226901724,0.9645222452043054,216
embedding_only,S1_VV,amazon_forest,0.9356709924367237,1.1245199734304592,0.7840313325731524,0.9673079448888808,216
embedding_only,S1_VV,california_coast,0.9225921918867194,1.0266225747778532,0.7403074587129195,0.9609987601356617,216
embedding_only,S1_VV,iowa_ag,0.8514999900373663,1.3017799194090698,0.7506561073130862,0.9304957039540085,216
embedding_only,S1_VV,sf_bay_urban,0.8710766235720675,1.512066843591421,1.0256184817080511,0.9356301871685136,216
embedding_plus_context,S1_VV,amazon_forest,0.9351573371709201,1.129000589327651,0.7777293288961652,0.9671617495593836,216
embedding_plus_context,S1_VV,california_coast,0.9221950343382357,1.0292528601737745,0.7500488823218925,0.9608181318546068,216
embedding_plus_context,S1_VV,iowa_ag,0.8385746392397764,1.3572511224413972,0.789427411095744,0.9230641054765019,216
embedding_plus_context,S1_VV,sf_bay_urban,0.8775182378479299,1.4738078584046101,0.9808566734829915,0.9396769751743235,216
embedding_only,S1_VV_div_VH,amazon_forest,0.4774868888526428,1.0485308951890133,0.7567848664910645,0.6986851763508779,216
embedding_only,S1_VV_div_VH,california_coast,0.8353179625062866,1.0118379545212437,0.7716275251722947,0.9141209035426185,216
embedding_only,S1_VV_div_VH,iowa_ag,0.41373160909259854,1.36847160529834,0.8643069135384278,0.6665156965953032,216
embedding_only,S1_VV_div_VH,sf_bay_urban,0.7070043644724568,1.1612128464067404,0.8399348669228623,0.8411056278834397,216
embedding_plus_context,S1_VV_div_VH,amazon_forest,0.4864526816129914,1.0394961094909403,0.7464663756469642,0.7023650366735247,216
embedding_plus_context,S1_VV_div_VH,california_coast,0.8408527799593183,0.9946891451569777,0.7631782403167767,0.9172098141884821,216
embedding_plus_context,S1_VV_div_VH,iowa_ag,0.3722088902087105,1.4161039411864564,0.8667442242913873,0.6375250548653926,216
embedding_plus_context,S1_VV_div_VH,sf_bay_urban,0.7257365055623908,1.1234797753520471,0.8171876649514189,0.852581574115794,216
