target,feature_set,model_label,dw_label_name,n,mae,rmse,bias,median_abs_error,p90_abs_error,max_abs_error
S1_VH,embedding_only,Embeddings only,water,96,1.170277558192631,1.5351913121472227,-0.13124501281965706,0.9348859454413584,2.2847891385727213,4.745438369585067
S1_VH,embedding_only,Embeddings only,built,96,0.9584955809361223,1.3559992656836595,-0.26076340703377016,0.7081059402425538,2.1597106124724057,5.2297306199078655
S1_VH,embedding_only,Embeddings only,snow_and_ice,96,0.9344929312813012,1.1849663035524458,0.03669173039066961,0.7649723750085773,1.979740591246822,3.0304019415748016
S1_VH,embedding_only,Embeddings only,bare,96,0.892226201046045,1.1807956508692383,0.100341544758362,0.6105702568371392,1.9107288347354212,3.8819859107861134
S1_VH,embedding_only,Embeddings only,trees,96,0.8568009626970041,1.0728838166040986,-0.12915343750315678,0.6625293352544013,1.7563179503295485,2.9399196969766432
S1_VH,embedding_only,Embeddings only,shrub_and_scrub,96,0.7966801422923263,1.377291974030928,-0.1722700647282962,0.5345195225600916,1.4604961908417078,9.291908559443264
S1_VH,embedding_only,Embeddings only,grass,96,0.7743129857798948,1.0267031831453024,0.005593754023253701,0.6376362077882218,1.582461819990339,3.377920662761973
S1_VH,embedding_only,Embeddings only,crops,96,0.7321921866322714,0.9442187269200049,0.09012493980162474,0.6120385711553578,1.4043792095062688,3.073174570838379
S1_VH,embedding_only,Embeddings only,flooded_vegetation,96,0.6076870297460085,0.7689562870041572,0.06679567857524087,0.5008975758080307,1.2257260475263045,2.3458409453037063
S1_VV,embedding_only,Embeddings only,built,96,1.2268515611021764,2.070486264522736,-0.3334974207897605,0.768394568841261,2.1763524920038995,12.076933731926246
S1_VV,embedding_only,Embeddings only,water,96,1.0112189325362728,1.4996632160942147,0.019711780330045947,0.7166424086265373,1.956538096196173,6.170985953488529
S1_VV,embedding_only,Embeddings only,shrub_and_scrub,96,0.902353474163776,1.3662551923562731,-0.05426367563809176,0.7372778600708756,1.7417962571630818,8.2962459788235
S1_VV,embedding_only,Embeddings only,bare,96,0.8371176645892021,1.2016857793035924,0.28914301671706016,0.5991135710923636,1.6974877571181377,4.566060895180126
S1_VV,embedding_only,Embeddings only,crops,96,0.7715518093515638,1.0058142800569836,0.056105494050138205,0.6140200901704285,1.5944284672621807,3.300433792722762
S1_VV,embedding_only,Embeddings only,snow_and_ice,96,0.7371401522416022,1.0203721452293502,-0.019083053532245136,0.5878865241589804,1.505062343956908,3.8712991344071312
S1_VV,embedding_only,Embeddings only,trees,96,0.7150220262899393,0.8938806831107567,-0.09779326068684184,0.5934746961196504,1.3691705273756325,2.42812112868155
S1_VV,embedding_only,Embeddings only,grass,96,0.6968834611106146,0.9598083697330796,-0.05471166570751456,0.4490319522300172,1.4232710033669225,3.737805921427832
S1_VV,embedding_only,Embeddings only,flooded_vegetation,96,0.5282410243060739,0.7444056994439698,-0.10223006497170206,0.3802692136372583,1.1207735929909823,3.060798530361925
S1_VV_div_VH,embedding_plus_context,Embeddings + context,water,96,1.187006350251553,1.5527550923523108,0.16468680615674047,0.8796947758403704,2.5073885623756995,4.4767211422943785
S1_VV_div_VH,embedding_plus_context,Embeddings + context,built,96,1.1453877146269946,1.920079083260941,-0.18926626401996252,0.7212092482690786,2.5639725232053348,11.687124791823878
S1_VV_div_VH,embedding_plus_context,Embeddings + context,snow_and_ice,96,0.7831248367824551,1.0929741828751434,-0.24104154025032162,0.6027180970880055,1.6190977682679772,3.926371636373494
S1_VV_div_VH,embedding_plus_context,Embeddings + context,shrub_and_scrub,96,0.7748501718358299,0.9487514782753723,0.12159051730275289,0.6922440240016852,1.5228637123643636,2.3158644964197883
S1_VV_div_VH,embedding_plus_context,Embeddings + context,crops,96,0.7733793415886553,0.9769522773056567,-0.09415574060385652,0.5984692745034303,1.7102940832784932,2.4881644843109747
S1_VV_div_VH,embedding_plus_context,Embeddings + context,bare,96,0.7400749521541782,1.001438623000369,0.08071362253878732,0.4876730626558769,1.5944350654697717,3.0948871791311596
S1_VV_div_VH,embedding_plus_context,Embeddings + context,grass,96,0.6819958274033224,0.9068275972639337,-0.08004688450934049,0.4865184532100368,1.4137258483417794,3.275798363079524
S1_VV_div_VH,embedding_plus_context,Embeddings + context,flooded_vegetation,96,0.6153348506224566,0.8258684402963791,-0.1497684435917341,0.4621935452067958,1.1630171010686121,2.8163752863008273
S1_VV_div_VH,embedding_plus_context,Embeddings + context,trees,96,0.4843930914492855,0.596008887852952,-0.039006319123143444,0.3764322038838248,0.9567418522401936,1.5100618704086113
