outlier_rank,system:index,region,dw_label_name,label_confidence,dominant_class,dominant_class_prob,latitude,longitude,actual,predicted,residual,abs_residual
1,1_1_2_494,iowa_ag,built,0.4239841197605097,built,0.4239841197605097,42.39378896157472,-95.8671740586586,6.339272489263783,-5.737661242662464,-12.076933731926246,12.076933731926246
2,1_1_1_2_473,sf_bay_urban,shrub_and_scrub,0.4175127055099107,shrub_and_scrub,0.4175127055099107,37.39232878571087,-121.78563613066028,-2.0638804224369496,-10.36012640126045,-8.2962459788235,8.2962459788235
3,1_1_2_521,iowa_ag,built,0.4905865037710302,built,0.4905865037710302,41.82057397877806,-95.00551003813116,2.5677825564520456,-4.783112179049821,-7.350894735501867,7.350894735501867
4,1_1_1_2_554,sf_bay_urban,built,0.7066283909759173,built,0.7066283909759173,37.80115207151367,-122.31456416994985,4.926017335050584,-2.27401722333538,-7.200034558385964,7.200034558385964
5,1_2_69,amazon_forest,water,0.4597909598594048,water,0.4597909598594048,-3.2933585788747837,-59.51307316256886,-10.133363960175338,-16.304349913663867,-6.170985953488529,6.170985953488529
6,1_2_51,amazon_forest,water,0.6355372524177212,water,0.6355372524177212,-3.0647373390663653,-60.39378146711964,-28.630113536761662,-22.713027707022313,5.917085829739349,5.917085829739349
7,1_2_60,amazon_forest,water,0.6356582765859601,water,0.6356582765859601,-3.063749192253834,-60.18869608775515,-27.9140081259017,-22.839718688858905,5.074289437042797,5.074289437042797
8,2_482,california_coast,built,0.4300329861696809,built,0.4300329861696809,35.49113431840032,-120.99386103923732,-7.61068558965402,-12.29366011056863,-4.682974520914611,4.682974520914611
9,2_625,california_coast,bare,0.1703355965537152,grass,0.2377274658065289,35.46499334363244,-120.94625032917898,-17.702958118498483,-13.136897223318355,4.566060895180126,4.566060895180126
10,1_1_1_2_597,sf_bay_urban,bare,0.3422411600657706,bare,0.3422411600657706,37.57657325048379,-122.51731392957562,-19.407577927180174,-14.93948352909634,4.468094398083833,4.468094398083833
11,1_1_1_2_17,sf_bay_urban,water,0.7243604560514004,water,0.7243604560514004,37.79513335911007,-122.28896218435244,-10.883335008741904,-15.288546255890218,-4.405211247148314,4.405211247148314
12,1_1_1_2_406,sf_bay_urban,shrub_and_scrub,0.4244115274451259,shrub_and_scrub,0.4244115274451259,37.50695381596453,-121.75715953615368,-3.8945921465023536,-8.246451642978862,-4.351859496476508,4.351859496476508
13,1_1_1_2_525,sf_bay_urban,built,0.7449649737940894,built,0.7449649737940894,37.3737336593296,-121.97383318268332,2.57706045840904,-1.45889653972495,-4.03595699813399,4.03595699813399
14,1_1_2_523,iowa_ag,built,0.3206102152055661,built,0.3206102152055661,41.64674997130093,-95.10935528497536,-3.7099773931826303,-7.726697341866326,-4.016719948683695,4.016719948683695
15,1_1_2_718,iowa_ag,snow_and_ice,0.1893421500032259,built,0.1905311357949606,41.91247163234348,-95.86555709114718,-7.295103954776836,-11.166403089183968,-3.8712991344071312,3.8712991344071312
16,1_1_1_2_175,sf_bay_urban,grass,0.3101825149339699,grass,0.3101825149339699,37.589329327518286,-121.98110953648468,-7.151291701535229,-10.88909762296306,-3.737805921427832,3.737805921427832
17,1_1_1_2_573,sf_bay_urban,bare,0.2657409672482082,bare,0.2657409672482082,37.52033871369791,-121.89585941602174,-15.51411523813718,-12.02737205862827,3.4867431795089097,3.4867431795089097
18,1_1_1_2_364,sf_bay_urban,crops,0.2496129224529943,crops,0.2496129224529943,37.726681734460165,-121.9812891995415,-15.405256290830517,-12.104822498107756,3.300433792722762,3.300433792722762
19,1_1_1_2_585,sf_bay_urban,bare,0.3142888879496604,bare,0.3142888879496604,37.728747859613634,-122.5066239776946,-15.729480103798506,-12.615283849119196,3.1141962546793103,3.1141962546793103
20,2_454,california_coast,shrub_and_scrub,0.2816266081177852,shrub_and_scrub,0.2816266081177852,35.47253919201905,-121.01137818727764,-5.941736866184954,-9.009792277953592,-3.06805541176864,3.06805541176864
