target,feature_set,model_label,region,n,mae,rmse,bias,median_abs_error,p90_abs_error,max_abs_error
S1_VH,embedding_only,Embeddings only,sf_bay_urban,216,0.9914367903401721,1.39942020314487,0.005561644393075962,0.6797936815920593,1.9644179357089904,9.291908559443264
S1_VH,embedding_only,Embeddings only,iowa_ag,216,0.8619280871984756,1.1609193246853045,-0.0041834667761495746,0.6545379942055751,1.977027899832784,4.990918499983524
S1_VH,embedding_only,Embeddings only,amazon_forest,216,0.8033720744184188,1.0867669489334346,-0.14293700919081642,0.5965873936814496,1.7339032447486158,4.745438369585067
S1_VH,embedding_only,Embeddings only,california_coast,216,0.775781082977869,1.050461429842028,-0.0335008459975452,0.6057887696816113,1.7715555586945824,5.052621258016522
S1_VV,embedding_only,Embeddings only,sf_bay_urban,216,1.0256184817080511,1.512066843591421,0.06491079117054317,0.7201891336162358,2.2157551219901626,8.2962459788235
S1_VV,embedding_only,Embeddings only,amazon_forest,216,0.7840313325731524,1.1245199734304592,-0.003123346102719845,0.5888246183987569,1.5555366283185537,6.170985953488529
S1_VV,embedding_only,Embeddings only,iowa_ag,216,0.7506561073130862,1.3017799194090698,-0.17217261063296313,0.5184034402421345,1.2996645542009886,12.076933731926246
S1_VV,embedding_only,Embeddings only,california_coast,216,0.7403074587129195,1.0266225747778532,-0.021445434536598713,0.562245308117185,1.5384911012799911,4.682974520914611
S1_VV_div_VH,embedding_plus_context,Embeddings + context,iowa_ag,216,0.8667442242913873,1.4161039411864564,-0.2935549122632449,0.5586366471857045,1.7966360642066745,11.687124791823878
S1_VV_div_VH,embedding_plus_context,Embeddings + context,sf_bay_urban,216,0.8171876649514189,1.1234797753520471,0.06170185866347645,0.5753286680772138,1.8767677283035753,3.926371636373494
S1_VV_div_VH,embedding_plus_context,Embeddings + context,california_coast,216,0.7631782403167766,0.9946891451569777,-0.010592883584812498,0.5858297839265965,1.6205398588578208,4.2271679781677385
S1_VV_div_VH,embedding_plus_context,Embeddings + context,amazon_forest,216,0.7464663756469642,1.0394961094909403,0.05298182780676854,0.5634815072445107,1.4272498104077558,4.4767211422943785
