n_pairs,pearson_r,pearson_p_value,spearman_rho,spearman_p_value,scope,group
200000,0.194517728763557,0.0,0.15078582627758463,0.0,overall,all
258840,0.508086836556037,0.0,0.5189406856839364,0.0,region,sf_bay_urban
258840,0.2749837166178923,0.0,0.2724967857978315,0.0,region,iowa_ag
258840,0.5298599386884253,0.0,0.5058163310401074,0.0,region,amazon_forest
258840,0.6891407805259975,0.0,0.6762318357982986,0.0,region,california_coast
51040,0.5739535776679905,0.0,0.5845251023962997,0.0,dw_label_name,water
51040,0.17158355150156995,0.0,0.19459063876811655,0.0,dw_label_name,trees
51040,0.3595985813752749,0.0,0.3308354733226515,0.0,dw_label_name,grass
51040,0.3723997754328717,0.0,0.3547715935347675,0.0,dw_label_name,flooded_vegetation
51040,0.1863443152683582,0.0,0.11755407580398791,1.80658078587332e-156,dw_label_name,crops
51040,0.2667204165873312,0.0,0.26770147434300334,0.0,dw_label_name,shrub_and_scrub
51040,0.1153828094216851,8.857777688971118e-151,0.09192849488129537,3.3637758271826456e-96,dw_label_name,built
51040,0.14490542246076268,1.5754398229653548e-237,0.12973875953733827,1.9950160186677399e-190,dw_label_name,bare
51040,0.2195337472004446,0.0,0.21674308421195665,0.0,dw_label_name,snow_and_ice
