k,region,n_queries,mean_overlap,median_overlap,p10_overlap,p90_overlap
5,sf_bay_urban,720,0.02805555555555556,0.0,0.0,0.2
5,california_coast,720,0.0225,0.0,0.0,0.2
5,amazon_forest,720,0.0175,0.0,0.0,0.0
5,iowa_ag,720,0.009999999999999998,0.0,0.0,0.0
10,california_coast,720,0.04055555555555556,0.0,0.0,0.1
10,sf_bay_urban,720,0.03958333333333333,0.0,0.0,0.1
10,amazon_forest,720,0.029861111111111113,0.0,0.0,0.1
10,iowa_ag,720,0.0175,0.0,0.0,0.1
20,california_coast,720,0.07263888888888889,0.05,0.0,0.2
20,sf_bay_urban,720,0.058472222222222224,0.05,0.0,0.2
20,amazon_forest,720,0.0525,0.05,0.0,0.15
20,iowa_ag,720,0.02958333333333333,0.0,0.0,0.1
