outlier_rank,system:index,region,dw_label_name,latitude,longitude,spatial_block,feature_set,target,model_name,model_label,actual,predicted,residual,abs_residual
1,1_1_2_494,iowa_ag,built,42.39378896157472,-95.8671740586586,iowa_ag__3_0,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],18.269305364674253,8.916877912917236,-9.352427451757016,9.352427451757016
2,1_1_2_521,iowa_ag,built,41.82057397877806,-95.00551003813116,iowa_ag__1_3,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],16.364760421855863,10.484623665288831,-5.8801367565670315,5.8801367565670315
3,1_2_52,amazon_forest,water,-3.5865686876113956,-60.02583152674428,amazon_forest__0_1,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],2.855422226746292,7.5447440736215805,4.689321846875289,4.689321846875289
4,1_2_20,amazon_forest,water,-3.5279985310868027,-59.96780035939016,amazon_forest__0_2,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],3.129545213228816,7.277400525559513,4.147855312330697,4.147855312330697
5,1_2_51,amazon_forest,water,-3.0647373390663653,-60.39378146711964,amazon_forest__2_0,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],6.046590594227386,10.186544208435508,4.139953614208121,4.139953614208121
6,1_1_2_718,iowa_ag,snow_and_ice,41.91247163234348,-95.86555709114718,iowa_ag__1_0,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],13.063849881497388,8.966631946565553,-4.097217934931836,4.097217934931836
7,2_18,california_coast,water,35.49329027508221,-121.08998077463812,california_coast__3_0,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],16.8482994817889,12.78370669906839,-4.06459278272051,4.06459278272051
8,1_1_1_2_663,sf_bay_urban,snow_and_ice,37.412900205717214,-122.4316146514706,sf_bay_urban__1_0,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],13.10915885538919,9.05382127820782,-4.055337577181369,4.055337577181369
9,1_1_1_2_55,sf_bay_urban,water,37.54612036235214,-122.38382427835543,sf_bay_urban__1_0,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],6.096337262402624,9.694913860777742,3.598576598375118,3.598576598375118
10,1_1_1_2_597,sf_bay_urban,bare,37.57657325048379,-122.51731392957562,sf_bay_urban__2_0,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],5.679123282917455,9.273883858740676,3.594760575823221,3.594760575823221
11,1_2_540,amazon_forest,built,-3.073001839680265,-60.06859133426837,amazon_forest__2_1,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],11.403250235884505,8.006525298536568,-3.396724937347937,3.396724937347937
12,2_0,california_coast,water,35.3038355816614,-120.91418047353592,california_coast__0_3,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],9.121028379589632,12.468099072821428,3.347070693231796,3.347070693231796
13,2_4,california_coast,water,35.48322914390007,-121.20209052209624,california_coast__2_0,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],16.73586673999987,13.475202116740746,-3.2606646232591245,3.2606646232591245
14,2_241,california_coast,flooded_vegetation,35.47541380092823,-120.98209310901537,california_coast__2_1,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],12.140114167568107,8.91383719537696,-3.2262769721911475,3.2262769721911475
15,1_1_1_2_175,sf_bay_urban,grass,37.589329327518286,-121.98110953648468,sf_bay_urban__2_2,embedding_plus_context,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],11.778639978171627,8.663337912446503,-3.1153020657251247,3.1153020657251247
