target,model_label,region,n,mean_residual,median_residual,rmse,mae
S1_VH,LightGBM (Embeddings + region + Dynamic World),sf_bay_urban,216,-0.00206165611432786,0.0178621669472303,1.3690415187235059,0.9911302385999223
S1_VH,LightGBM (Embeddings + region + Dynamic World),iowa_ag,216,0.05107611962339535,0.0425716514483038,1.1727245363551915,0.8800886557719098
S1_VH,LightGBM (Embeddings + region + Dynamic World),amazon_forest,216,-0.050113887088722824,-0.02426652606613095,1.102784212399139,0.8115609898016652
S1_VH,LightGBM (Embeddings + region + Dynamic World),california_coast,216,-0.0568944221867206,0.0626769099417554,1.0267100233288544,0.7483227499549493
S1_VV,LightGBM (Embeddings + region + Dynamic World),sf_bay_urban,216,0.009905985875075827,0.01188275521761015,1.4735421964912394,0.9806536453988834
S1_VV,LightGBM (Embeddings + region + Dynamic World),iowa_ag,216,-0.16912260281048805,0.01078775912952065,1.356952418585368,0.7893065136365115
S1_VV,LightGBM (Embeddings + region + Dynamic World),amazon_forest,216,0.02759970284170055,-0.03207780255806365,1.1289741956057462,0.7776884110394304
S1_VV,LightGBM (Embeddings + region + Dynamic World),california_coast,216,-0.013501212247695717,0.01800279273639925,1.0292836065257338,0.7501007255609545
S1_VV_div_VH,LightGBM (Embeddings only),iowa_ag,216,-0.24779031331730816,-0.07176650787186249,1.3655337767992213,0.8595156077708663
S1_VV_div_VH,LightGBM (Embeddings only),sf_bay_urban,216,0.015285877609730143,0.0137563855298039,1.1231702477039354,0.8204611367618321
S1_VV_div_VH,LightGBM (Embeddings only),california_coast,216,0.028303577921005744,0.11458975988218384,0.9871460935647466,0.7592260056558461
S1_VV_div_VH,LightGBM (Embeddings only),amazon_forest,216,0.08657463236224576,0.09114884959727115,1.0417682139571995,0.7459765266650644
