sample_percent,train_rows,mean_r2,mean_rmse,mean_mae
0.0,0,-1.0049049854278564,7.807505745442981,5.935613632202148
0.001,13,-0.06814745826233722,5.736823459985548,4.488256008492569
0.0025,32,-0.0023726041309638144,5.515702427267503,4.836921610443298
0.005,63,0.8100229346780488,1.9504923109980463,1.432112966232893
0.01,127,0.8427071398914366,1.7929509653787747,1.1782698679038952
0.02,253,0.8841858475500679,1.425315287782697,1.0019065838319534
0.05,633,0.8938804206912766,1.348949500566908,0.9346668508068946
0.075,949,0.9036604512611305,1.263506089775679,0.8765003690835362
0.1,1265,0.9060362243200221,1.2266761136942457,0.8561162209361411
0.2,2530,0.9132306048424063,1.167001540013738,0.8142605347291663
1.0,12652,0.9255490264630658,1.064644983058627,0.74777046976437
