feature,gain_importance,split_importance,permutation_mean,permutation_std
A25,304339.4848268926,352,0.2688818216024268,0.011654837859200663
A27,45697.05883720517,409,0.05089134397002375,0.002554373535247286
A49,45475.39803785086,321,0.029909084857285217,0.0017432109791380571
A19,28134.533666983247,380,0.025416516279929514,0.0020037485720763447
A34,27713.88801717758,383,0.0242034470143346,0.002493745303177459
A52,35320.34694556892,295,0.02034142761956559,0.002710143006775405
A63,84353.46820440888,226,0.01723669775730168,0.0010916335678327741
A26,15450.34535202384,455,0.014334485352053917,0.0015202904882007586
A24,13799.120789080858,361,0.012219259071464284,0.0015697866015793936
A08,7294.5238626003265,310,0.011179058616206161,0.001155778445415706
A31,37430.141537606716,323,0.01072177659400032,0.0007782387195700131
A59,24472.173928782344,378,0.010190333799247941,0.0010694985871634623
A10,8597.31692622602,348,0.00978099027426218,0.0009960019095109271
A17,15964.826230987906,269,0.008116686655998784,0.0011170704544996536
A46,50017.868135124445,227,0.007873106249876517,0.000808210182705997
A44,28826.70847788453,278,0.007694368745732561,0.0017353916595911087
A45,8538.736493766308,337,0.006931587866393629,0.0010163737428097936
A43,14721.148205906153,269,0.006874598049351699,0.0008221692369389181
A05,9120.240894213319,323,0.006733171177540886,0.0005627171595559506
A56,8831.628932833672,273,0.006332054209250493,0.0005073851383505259
A18,24865.557455852628,126,0.0056974637291306585,0.0010842774868625729
A38,7715.425197988749,233,0.00449979145044932,0.0007302526690348938
A11,9213.766524195671,222,0.004033500810814605,0.0004691352810120004
A35,5509.365852877498,252,0.003971323912678926,0.0008151218102393395
A33,3535.0159355700016,239,0.003349952027376468,0.0007023168670475552
A40,3353.4547638595104,271,0.0032647889352999558,0.0007125923984052057
A07,5160.649367004633,250,0.002608183865693725,0.0003899812146180618
A50,4885.630041331053,217,0.0025110977513941425,0.0003539226731133312
A09,5387.824079334736,223,0.0024585225982476366,0.0005144692724675262
A60,1159.5723549127579,220,0.002352015926862072,0.00036624404531064716
A23,2182.0606283545494,207,0.0022998350480904596,0.0003101644549940007
A53,8788.773155421019,184,0.0022831821036542687,0.0004320925198369248
A12,5096.6547247469425,139,0.002202046187550566,0.00034076616097947665
A37,2216.206010580063,264,0.002127007919504309,0.000651614681288934
A42,15033.443261936307,232,0.002029413909031286,0.000499215760939779
A39,6783.503061324358,293,0.0020026342303877897,0.00054638744545835
A14,1959.7647704333067,196,0.0019081478946221142,0.00017467133985800943
A58,2606.8043856322765,239,0.0015092375998407958,0.000400194065309465
A15,6393.5905059129,218,0.0014938124473656278,0.0004963984267332204
A04,1470.702221006155,305,0.0014187162845096912,0.00044284918414084633
A62,4341.1879225969315,290,0.0014129427271793004,0.0002823016487935921
A61,1534.3681951016188,246,0.0012980359679205856,0.00033211020207970116
A47,1342.4809979498386,275,0.0011237234114591544,0.0004223913893532447
A36,3306.8025129139423,323,0.0010877522109531191,0.00025452566773195026
A01,1574.3924075961113,206,0.001015251889942348,0.0003266634323473476
A51,2398.686837539077,168,0.0010086603075746049,0.00025649485890262807
A00,1018.0719780921936,203,0.0009101980660479181,0.00032902938481925854
A29,729.4637412726879,248,0.0008661600106121603,0.00029470938338683735
A22,3503.4794479310513,143,0.0006241771492531467,0.0001883406686648496
A55,1570.9010837227106,160,0.0005967747296187099,0.00013596090991559152
A02,967.1849614083767,194,0.0005891597917754065,0.00026575230972453943
A30,1886.7902619689703,196,0.00048655849817705874,0.000215718593437416
A48,5783.9671911895275,221,0.00048061900543894254,0.000222837846767138
A57,442.5690674930811,221,0.0003797305566102693,0.0001496238541196047
A28,498.79612819850445,239,0.0003076342209276661,0.00030240375086886077
A06,400.6787410080433,161,0.00024920480231729327,8.517516997215564e-05
A13,1369.761618822813,109,0.00017007520146019583,0.00010119075632051603
A32,486.94250924885273,238,0.00016430924719107454,0.00013796889563860625
A03,738.5449510514736,159,0.00012393250219875363,0.00013130762014260637
A20,517.0848510414362,162,0.00011746945970896317,0.00010155246754622542
A54,172.94508561491966,92,9.016802023649184e-05,6.86777839578043e-05
A41,2149.990549504757,91,4.054546781120383e-05,0.00016442728824137985
A16,544.5717815756798,210,4.014183756129164e-05,0.00010742601265046661
A21,358.9056808203459,115,2.0866357618509746e-05,0.00011915300968639112
